mileage,price,model,year,description,brand,description_sentiment,description_sentiment_twtr
"6,840 miles","$19,995 ",K 1600 B,  2019 BMW Touring,"This   2019 BMW K1600B is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 6840 miles.  Our service department has inspected the bike and performed the 6K service which included an oil and oil filter change along with changing the rear drive fluid and also completing a brake fluid flush. The previous owner had new tires installed by Cycle Werks just prior to trade in so this bike is ready to ride.  This bike is equipped with the Select Package, Bluetooth Interface Control, Dynamic Electronic Suspension Adjustment, Gear Shift Assist Pro, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Touring Package, Audio System with Radio, Comfort Package, ABS Pro, Auxiliary LED Running Lights, Center Stand, Option 719 Forged Wheels, Floor Boards, Central Locking System, Reverse Assist, Tire Pressure Monitors, Power Adjusting Windscreen, Heated Seat, Heated Grips, Anti Theft Alarm System, Engine Protection Bars, Safety Plus Package, Battery Tender Lead and a Remus Exhaust System.",BMW,"[{'label': '5 stars', 'score': 0.6059820652008057}]","[{'label': 'positive', 'score': 0.5450389385223389}]"
"24,805 miles","$18,995 ",K 1600 GTL,  2018 BMW Touring,"This   2018 BMW K1600GTL is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 24805 miles.  Our service department has inspected the bike and performed the 24K service along with installing new tire so that this bike is ready to ride.  It is equipped with the Luxury Plus Package, Bluetooth Interface, Dynamic Electronic Suspension Adjustment, Hill Start Control, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Gear Shift Assist Pro,Audio System with Radio, Central Locking System, Tire Pressure Monitors, Anti Theft Alarm System, Safety Package, Power Adjusting Windscreen, Heated Seat, Heated Grips, Reverse Assist, ABS Pro, Auxiliary LED Running Lights, BMW Navigation System and a Battery Tender Lead.",BMW,"[{'label': '5 stars', 'score': 0.677514374256134}]","[{'label': 'positive', 'score': 0.7133415341377258}]"
"13,743 miles","$16,500 ",K 1600 GT,  2016 BMW Sport Touring,,BMW,,
"19,500 miles","$29,995 ",R 18 CLASSIC FIRST EDITION,  2021 BMW Classic / Vintage,,BMW,,
3 miles,"$30,978 ",S 1000 RR,New 2023 BMW Sportbike,"The RR is now even more foc  and more precisely geared towards pure performance. For those who increasingly demand more. More from themselves. More each lap. And more from their RR. Simply put: . Leading the way is a matter of millimeters, especially in the circles the RR has always been a part of. Thats why we have streamlined and evolved the RR where it matters most: from the new steering angle sensor with Brake Slide Assist and Slide Control as well as the integration of M components and improvements to the electronics and crucial processes for modifying the bike for the race track. And all this with a clear goal in mind  claiming the pole position over and over again.",BMW,"[{'label': '5 stars', 'score': 0.3018795847892761}]","[{'label': 'neutral', 'score': 0.5305628180503845}]"
300 miles,"$19,999 ",K 75 S,  1990 BMW Custom,,BMW,,
"81,471 miles","$12,995 ",R 1200 GS ADVENTURE,  2016 BMW Dual Sport,"This   one owner 2016 BMW R1200GS Adventure is for sale at Cycle Werks in Barrington in Barrington IL and is in very nice condition with 81481 miles.  This original owner of this bike has had this bike dealer serviced at either Mischlers or Cycle Werks and our service department has inspected the bike and performed an oil and oil filter change so it is ready to ride.  It is equipped with the Premium Package, Dynamic Electronic Suspension Adjustment, LED Style Element, On Board Computer, Ride Modes Pro, ABS Pro, Tire Pressure Monitors, Auxiliary LED Running Lights, Keyless Ride, Gear Shift Assist Pro, Touring Package, Chrome Exhaust Pipe, Heated Grips, Engine and Side Body Protection Bars, Cruise Control, BMW Aluminum Side Cases, BMW Navigation System, Battery Tender Lead and a Headlight Guard.  This bike also comes with a 30 day or 1000 mile powertrain warranty whichever comes first.",BMW,"[{'label': '5 stars', 'score': 0.6154659390449524}]","[{'label': 'positive', 'score': 0.6427844166755676}]"
"13,413 miles","$13,995 ",S 1000 RR,  2014 BMW Sportbike,"This   2014 BMW S1000RR is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with only 13413 miles.  Our service department has inspected the bike and completed an oil and oil filter change along with also installing a new air filter.  They also performed a brake fluid flush so that this bike is ready to ride.  It is equipped with Gear Shift Assist, Heated Grips , Dynamic Traction Control, Tinted Windscreen, Adjustable Brake and Clutch Levers, Battery Tender Lead, TRW Shifter, Rear Spools and an Akrapovic Exhaust.",BMW,"[{'label': '5 stars', 'score': 0.578549325466156}]","[{'label': 'positive', 'score': 0.7452226281166077}]"
"45,144 miles","$7,995 ",R 1200 RT,  2011 BMW Sport Touring,,BMW,,
"7,339 miles","$13,500 ",R 1100 S Boxer Cup,  2004 BMW Sport Touring,,BMW,,
"4,570 miles","$17,995 ",K 1600 B,  2018 BMW Touring,"This   2018 BMW K1600B is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 4570 miles.  Our service department has inspected the bike and performed an oil and oil filter change so this bike is ready to ride.  It is equipped with the Premium Package, Bluetooth Interface Control, Dynamic Electronic Suspension Adjustment, Hill Start Control, Touring Package, Floor Boards, Central Locking System, ABS Pro, Auxiliary LED Running Lights, Engine Protection Bars, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Gear Shift Assist Pro, Audio System w/Radio, Reverse Assist, Tire Pressure Monitors, Power Adjusting Windscreen, Heated Seat, Heated Grips, Anti Theft Alarm and the Safety Plus Package.",BMW,"[{'label': '5 stars', 'score': 0.6118727922439575}]","[{'label': 'positive', 'score': 0.6668125987052917}]"
"13,338 miles","$8,999 ",R nineT,  2015 BMW Standard,Tinted Wind Screen!,BMW,"[{'label': '5 stars', 'score': 0.22546355426311493}]","[{'label': 'neutral', 'score': 0.6636709570884705}]"
"21,528 miles","$5,595 ",G 650 GS,  2009 BMW Dual Sport,"This   2009 BMW G650GS is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 21527 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with performing a chain service on the bike.  It is ready to ride!  This bike has many accessories which include a BMW Top Case, Adventure Style Foot Pegs, V Stream Windscreen, Auxiliary Running Lights, Bash Plate, Battery Tender Lead, Hand Guards, Side Protection Bars, Anti Lock Braking System, Side Stand Plate Enlarger, Center Stand and Heated Grips.",BMW,"[{'label': '5 stars', 'score': 0.6091095805168152}]","[{'label': 'positive', 'score': 0.8068547248840332}]"
"13,698 miles","$4,999 ",F 650,  1997 BMW Sport Touring,,BMW,,
548 miles,"$14,995 ",R 18 CLASSIC,  2021 BMW Standard,"This one owner   2021 BMW R18 Classic is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 548 miles.  Our service department has inspected the bike and performed the 600 mile service so this bike is ready to ride.  It has factory warranty remaining until 7/11/2025 or 36000 miles whichever comes first and is equipped with the Premium Package, Adaptive Headlight, Hill Start Control, Floor Boards, Select Package, Headlight Pro, Reverse Assist, Chrome Engine Guards, Machined Roland Sands Headlight Ring, Machined Roland Sands Gas Cap and a Battery Tender Lead.",BMW,"[{'label': '5 stars', 'score': 0.3840163052082062}]","[{'label': 'positive', 'score': 0.6044697165489197}]"
"10,524 miles","$19,995 ",R 1250 RS,  2020 BMW Sport Touring,"This   2020 BMW R1250RS is for sale at Cycle Werks in Barrington in Barrington Iland is in excellent condition with 10524 miles.  Our service department has inspected the bike and performed the 12K service which included an oil and oil filter change along with changing the rear drive oil and performing a brake fluid flush.  They also installed new spark plugs and a new air filter so this bike is ready to ride.  It is equipped with the Select Package, Dynamic Electronic Suspension Adjustment, Gear Shift Assist Pro, Comfort Package, Dynamic Package, GPR Preparation, Exclusive Style Package, ABS Pro, Tire Pressure Monitors, Center Stand, Dynamic Traction Control, Keyless Ride, Ride Modes Pro, Touring Package, Chrome Exhaust Pipe, Heated Grips, Cruise Control, Luggage Grid, Battery Tender Lead and BMW Saddle Bags.",BMW,"[{'label': '5 stars', 'score': 0.6843180656433105}]","[{'label': 'positive', 'score': 0.75401371717453}]"
"24,398 miles","$15,900 ",R 1200 GS ADVENTURE,  2015 BMW Dual Sport,,BMW,,
2 miles,"$22,860 ",R 1250 GS Triple Black,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,"[{'label': '5 stars', 'score': 0.5680094957351685}]","[{'label': 'positive', 'score': 0.9702164530754089}]"
,"$22,990 ",R 18 B 719 Galaxy Dust Metallic/Titan Silver 2 Metallic,New 2022 BMW Cruiser,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, its not all about displacement. The R 18 B goes significantly further. Its made for customizing. Turn it into your unique bike and bring out the #SoulFuel.",BMW,"[{'label': '4 stars', 'score': 0.4538867473602295}]","[{'label': 'positive', 'score': 0.7480999231338501}]"
"4,456 miles","$22,900 ",R 18 TRANSCONTINENTAL,  2022 BMW Cruiser,,BMW,,
831 miles,"$14,995 ",R 18 CLASSIC,  2021 BMW Standard,"This one owner   2021 BMW R18 Classic is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 831 miles.  Our service department has inspected the bike and performed an oil and oil filter change so this bike is ready for the riding season.  This bike has factory warranty remaining until 4/05/2024 or 36000 miles whichever comes first and is equipped with the Premium Package, Locking Fuel Filler Cap, Headlight Pro, Select Package, Adaptive Headlight, Hill Start Control, Design Option Chrome, Pinstripe, Reverse Assist, Heated Grips, Anti Theft Alarm System, Cruise Control, Battery Tender Lead and a Mustang Day Rider Seat.",BMW,"[{'label': '5 stars', 'score': 0.3562990427017212}]","[{'label': 'positive', 'score': 0.5877388119697571}]"
,"$18,500 ",R 1250,  2019 BMW Sport Touring,,BMW,,
"4,153 miles","$18,995 ",R 1250,  2019 BMW Sport Touring,,BMW,,
,"$6,500 ",R1200CL,  2004 BMW Touring,"PERFECT CRUISERALWAYS, ALWAYS GARAGE KEPT, SENIOR OWNED",BMW,"[{'label': '5 stars', 'score': 0.6042633056640625}]","[{'label': 'positive', 'score': 0.8768135905265808}]"
"3,080 miles","$14,995 ",R 1250 RS,  2020 BMW Sport Touring,"This pre-owned 2020 BMW R 1250 RS Premium sport touring motorcycle in Imperial Blue Metallic is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937OPTIONS:0ZSL Select Package0182 DTC (Dynamic Traction Control0191 Dynamic ESA0193 Keyless Ride0222 Gear Shift Assist Pro0224 Ride Modes Pro0230 Comfort Package0233 Touring Package0235 Dynamic Package0253 Tank Cover Pure0272 GPS Preparation0350 Chrome Exhaust Pipe0452 Exclusive Style Package05AC ABS Pro0519 Heated Grips0530 TPM (Tire Pressure Monitors0538 Cruise Control0636 Center Stand0665 Luggage Grid0681 Saddle Bag Mounts0992 Market Launch EquipmentWunderlich Cylinder Head GuardsLED Driving LightsAdmore LED Tail Light",BMW,"[{'label': '5 stars', 'score': 0.41797706484794617}]","[{'label': 'neutral', 'score': 0.8699374794960022}]"
"4,264 miles","$10,295 ",F 900 XR,  2020 BMW Dual Sport,"This   2020 BMW F900XR is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with only 4264 miles.  Our service department has inspected the bike and performed the 6K service which included an oil and oil filter change along with a brake fluid flush and also a chain service.  This bike has BMW factory warranty remaining until 10/08/2023 or 36000 miles whichever comes first and is equipped with Dynamic Engine Brake Control, Ride Modes Pro, ABS Pro, Connectivity, Dynamic Traction Control, Exclusive Style Package, Hand Protection with Extensions, Tinted Windscreen, TFT Screen Protector and a Battery Tender Lead. This bike is ready to ride!",BMW,"[{'label': '5 stars', 'score': 0.6178168058395386}]","[{'label': 'positive', 'score': 0.7588822841644287}]"
"7,407 miles","$14,695 ",S 1000 XR,  2018 BMW Dual Sport,"This   2018 BMW S1000XR is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 7407 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with a Chain Service and a Brake Fluid Flush.  This bike is equipped with the Premium Package, Dynamic Electronic Suspension Adjustment, Ride Modes Pro, Heated Grips, Hand Protection, Low Seat, Dynamic Traction Control, Gear Shift Assist Pro, GPS Preparation, Low Suspension, ABS Pro, Cruise Control, Center Stand, Tinted Windscreen with Deflector, Battery Tender Lead, Top Case, Carbon Fiber Fuel Filler Surround, Carbon Fiber Ignition Key Surround and Saddle Bag Mounts.",BMW,"[{'label': '5 stars', 'score': 0.5538991093635559}]","[{'label': 'positive', 'score': 0.6370083689689636}]"
"10,879 miles","$13,500 ",R NINET,  2018 BMW Standard,"This pre-owned 2018 BMW R nineT Cafe Racer motorcycle in Black Storm Metallic is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937OPTIONS:0145 Spoked Wheels0519 Heated Grips0650 ASC (Automatic Stability ControlUPGRADES:Full Titanium Exhaust SystemUpgraded Open Air FiltersRear Cafe Racer CowlCustom Mesh Headlight GuardBlack Coated Akrapovic ExhaustHand-Painted Pinstriping and Tank LogoPuig Bar-End MirrorsNRC Tail TidyNRC LED Tail Light and Turn Signals",BMW,"[{'label': '4 stars', 'score': 0.33896681666374207}]","[{'label': 'neutral', 'score': 0.8756082653999329}]"
,"$24,845 ",R 1250 GS,New 2023 BMW Sport Touring,"The BMW R 1250 GS;;Boundless thirst for adventure;;Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,"[{'label': '5 stars', 'score': 0.5658735036849976}]","[{'label': 'positive', 'score': 0.9674203395843506}]"
"3,707 miles","$6,700 ",G 310,  2022 BMW Dual Sport,,BMW,,
428 miles,"$4,999 ",G 310 R,  2020 BMW Standard,RIDING PLEASURE.,BMW,"[{'label': '5 stars', 'score': 0.3647461235523224}]","[{'label': 'neutral', 'score': 0.7413038015365601}]"
"1,476 miles","$5,500 ",G 310 GS,  2019 BMW Standard,Everyday adventures.,BMW,"[{'label': '5 stars', 'score': 0.37273454666137695}]","[{'label': 'neutral', 'score': 0.5313258767127991}]"
"3,700 miles","$13,494 ",S 1000 XR,  2016 BMW Sport Touring,,BMW,,
472 miles,"$12,999 ",Rnine T PURE,  2021 BMW Cruiser,,BMW,,
"4,467 miles","$4,900 ",G 310 GS,  2019 BMW Dual Sport,"This pre-owned 2019 BMW G 310 GS dual sport motorcycle in Racing Red is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937OPTIONS:Upgraded LED HeadlightLower Engine GuardsUpper Engine GuardsRAM Mount MirrorsOff Road Skid PlateTruactive Phone MountHandlebar RisersLarge Light Smoke Windscreen",BMW,"[{'label': '5 stars', 'score': 0.3288465440273285}]","[{'label': 'neutral', 'score': 0.7988202571868896}]"
857 miles,"$18,999 ",R 1200 GS RALLYE,  2017 BMW Dual Sport,Condition:,BMW,"[{'label': '5 stars', 'score': 0.2764538526535034}]","[{'label': 'neutral', 'score': 0.8569292426109314}]"
,"$10,495 ",S 1000 R,  2016 BMW Standard,"This   2016 BMW S1000R is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with only 5057 miles.  Our service department has inspected the bike and all maintenance is up to date so they decided to give the bike a fresh oil and oil filter change so that t is ready for the season.  This bike is equipped with the Premium Package, Dynamic Traction Control, Ride Modes Pro, Heated Grips, Engine Spoiler, Gear Shift Assist, Dynamic Damping Control, Dynamic package, Cruise Control, Battery Tender Lead, Tank Protector and Custom Levers.",BMW,"[{'label': '5 stars', 'score': 0.5027608275413513}]","[{'label': 'positive', 'score': 0.7896214127540588}]"
"29,896 miles","$14,900 ",K 1600 GTL EXCLUSIVE,  2014 BMW Touring,,BMW,,
"7,033 miles","$23,495 ",R 1250 GS Adventure,  2021 BMW Sport Touring,"The BMW R 1250 GS Adventure;;No destination is too far;;The world is there to be discovered. There's always something new. The R 1250 GS is the queen of the touring enduro It's just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical #SpiritOfGS.",BMW,"[{'label': '5 stars', 'score': 0.44992536306381226}]","[{'label': 'positive', 'score': 0.9345071315765381}]"
"26,300 miles","$16,495 ",R 1200 GS ADVENTURE,  2017 BMW Touring,"Very clean and well maintained R1200 GS Adventure in Triple Black, with thousands in upgrades. Premium trim with keyless start, heated grips, electronic suspension, ride modes plus, and lots more. I had the clutch completely replaced last season, as well as a recent oil change. This bike runs like new, and needs nothing for at least 4-5k miles.",BMW,"[{'label': '5 stars', 'score': 0.623595118522644}]","[{'label': 'positive', 'score': 0.9236530661582947}]"
"11,100 miles","$12,900 ",K 1300 S,  2015 BMW Sport Touring,,BMW,,
,"$29,050 ",K 1600 B 719 Midnight s,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, youre happy to be riding a little longer, whether on your own or with friends. Simply put: #RideAndShare.",BMW,"[{'label': '4 stars', 'score': 0.4375556707382202}]","[{'label': 'positive', 'score': 0.9711299538612366}]"
,"$23,920 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,"[{'label': '5 stars', 'score': 0.49645158648490906}]","[{'label': 'positive', 'score': 0.9710419178009033}]"
,"$23,025 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades  and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swiveling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,"[{'label': '5 stars', 'score': 0.5384478569030762}]","[{'label': 'positive', 'score': 0.9702760577201843}]"
,"$23,025 ",R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,"[{'label': '5 stars', 'score': 0.49567168951034546}]","[{'label': 'positive', 'score': 0.9710419178009033}]"
,"$21,500 ",K 1600 GTL,  2018 BMW Cruiser,,BMW,,
"50,586 miles","$10,495 ",R 1200 GS,  2014 BMW Dual Sport,"This pre-owned 2014 BMW R 1200 GS dual sport motorcycle in Thunder Grey Metallic is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937",BMW,"[{'label': '5 stars', 'score': 0.37131384015083313}]","[{'label': 'neutral', 'score': 0.81291663646698}]"
"2,800 miles","$7,300 ",F 700 GS,  2013 BMW Dual Sport,,BMW,,
"16,325 miles","$26,500 ",R 100 GS,  1992 BMW Dual Sport,,BMW,,
6 miles,"$30,950 ",K 1600 GRAND AMERICA OPTION 719 MIDNIGHT,New 2023 BMW Touring,"Traveling in pairs means experiencing every mile twice. Makes sense, right? However, with the K 1600 Grand America you will experience more. Its six-cylinder engine lets you casually cruise towards the horizon: well equipped with footboards, a top case featuring a backrest and high windscreen. As a result, it wont be easy to say which was the most beautiful moment of the tour at the end of each day. Still, the stories about every mile will feel at least twice as good. Simply put: #RideAndShare",BMW,"[{'label': '3 stars', 'score': 0.43182843923568726}]","[{'label': 'positive', 'score': 0.8988192081451416}]"
"18,384 miles","$10,296 ",R 1200 R,  2016 BMW Sport Touring,,BMW,,
"51,956 miles","$10,500 ",R 1200 GS,  2014 BMW Dual Sport,,BMW,,
,"$4,250 ",F 650,  2010 BMW Dual Sport,Cyclops LED Headlight,BMW,"[{'label': '3 stars', 'score': 0.23746541142463684}]","[{'label': 'neutral', 'score': 0.7946697473526001}]"
"59,645 miles","$4,900 ",R 1100 RT ABS,  2000 BMW Touring,,BMW,,
,"$20,020 ",R 18 Classic,New 2023 BMW Standard,The BMW R 18 Classic;;Iconic. Nostalgic. Soulfuel.;;The R 18 Classic is a modern cruiser with a nostalgic sense of BMW design. It reminds one of the first BMW cruisers suitable for touring. It also invokes timeless marks of our motorcycle history. The heart of the machine is obviously the boxer engine with the most displacement we have ever built. It is designed for relaxing tours and pure enjoyment. Consistently developed history - simply put: #SoulFuel.,BMW,"[{'label': '5 stars', 'score': 0.5856720209121704}]","[{'label': 'positive', 'score': 0.9509267807006836}]"
10 miles,"$27,465 ",R 1250 RT Alpine White,New 2023 BMW Touring,"The R 1250 RT is the perfect companion for your tour: Its legendary BMW ShiftCam Boxer engine pulls just as powerfully over country roads as it does over winding mountain passes. Its new front end makes it look more dynamic and slimmer. On the other hand, there is a wide range of features such as the extra-large 10.25"" TFT display or available Active Cruise Control (ACC) - providing extra comfort on your journey. At the end of the day, you sit back relaxed knowing that the next tour is always the greatest.",BMW,"[{'label': '4 stars', 'score': 0.45188719034194946}]","[{'label': 'positive', 'score': 0.9485234618186951}]"
