mileage,price,bike,Types ,description
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame"
,"$5,499 ",Continental GT Ventura Storm,New 2022 Royal Enfield Cruiser,"2022 Royal Enfield Continental GT Ventura Storm, 2022 Royal Enfield Continental GT Ventura Storm"
,"$4,499 ",Classic 350 Halcyon Black,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Black,   2022 Royal Enfield Classic 350 Halcyon Black"
1 miles,"$5,299 ",Himalayan Rock Red,New 2022 Royal Enfield Standard,"2022 Royal Enfield Himalayan Rock Red, 2022 Royal Enfield Himalayan Rock Red"
,"$5,099 ",Scram 411 Graphite Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Red, 2023 Royal Enfield Scram 411 Graphite Red"
,"$6,499 ",Continental GT 650,New 2022 Royal Enfield Cruiser,
,"$5,599 ",Int650 Downtown Drag,New 2022 Royal Enfield Standard,"2022 Royal Enfield Int650 Downtown Drag, 2022 Royal Enfield Int650 Downtown Drag"
,"$3,900 ",METEOR 350,Used 2022 Royal Enfield Cruiser,"2022 Royal Enfield Meteor 350 $3900. Cash only, No checksClear Alabama Title Never ridden less than 1 mile on odometer. Dealer rode it off the trailer ro deliver. Excellent NEW conditions. No issues of any kind. Color is Fireball red.Extras:Crash BarTouring SeatLuggage RackPainnersUp graded cruiser large foot pegsCharger pigtailNew windshield still unopened in box.New in package adjustable levers for meteor 350New Meteor 350 heeadlight grilleI have decided i am too old to ride 74."
,"$5,474 ",CLASSIC 350,New 2023 Royal Enfield Standard,"2023 ROYAL ENFIELD CLASSIC 350, Contact Michael Baker (Cycle Listing) at 817-834-1392 or mjwholesale1@hotmail.com for more information. -"
,"$6,499 ",Continental GT Dux Deluxe,New 2022 Royal Enfield Standard,"2022 Royal Enfield Continental GT Dux Deluxe,   2022 Royal Enfield Continental GT Dux Deluxe"
,"$5,699 ",Int650 Baker Express,New 2022 Royal Enfield Standard,"2022 Royal Enfield Int650 Baker Express, Sale price of $6,644 Includes Freight and Setup Fees !  2022 Royal Enfield Int650 Downtown Drag"
"1,256 miles","$4,500 ",BULLET 500 B5,Used 2009 Royal Enfield Classic / Vintage,"2009 Royal Enfield Bullet 500. This is the last year of the 500cc carbureted Royal Enfield's. It has both electric and kick start. It has about 1250 miles. Well maintained but will need new brake shoes soon. Clean title in hand.It's an incredibly rare bike. It has the “lean burn” motor that incorporates a new head design for that year with a narrower included valve angle as well as an electronic ignition. These changes give it a claimed 25 horsepower and upward of 70 mpg while weighing in at 370 pounds dry. It also has modern carburetion, a five-speed transmission.It's really fun to ride! Lots of looks and thumbs up!"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, The ALL-NEW Scram 411's are finally here! Call or stop in and see what all the hype's about! We have a ton of color options! *Price listed is MSRP and does not include freight, assembly, or doc fee. Call for more details.  2023 Royal Enfield Scram 411 White Flame"
5 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
3 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
5 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
1 miles,"$4,499 ",Classic 350 Halcyon Black,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Black, COASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALINDIAN.COM HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799   COASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH3956 HWY 17 SOUTH BYPASSMURRELLS INLET SC 29576TEXT OR CALL 843-651-9799WWW.COASTALINDIAN.COMhttps://www.instagram.com/coastal_indian_motorcycle/HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!!$0.00 DEALER ADDED FREIGHT FEE'S$0.00 DEALER ADDED SET-UP FEE'S$0.00 DEALER ADDED MARKET ADJUSTMENTCOASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALINDIAN.COM @ THE APP. STORE COASTAL INDIAN MOTORCYCLE HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799 2022 Royal Enfield Classic 350 Halcyon Black"
"1,690 miles","$6,995 ",Himalayan 411 EFI ABS,Used 2021 Royal Enfield Standard,
575 miles,"$4,995 ",SCRAM 411,Used 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 with less than 575 miles. This is a great Scram 411 that I’ve owned and enjoyed for the last 6 months. Bought new from Quaker City in Philadelphia (a Royal Enfield dealer), adult ridden, and includes the limited availability factory navigation.Adult ridden and the first service was done earlier this year by Quaker City. Also includes Royal Enfield brand (not knock-offs or third party):Buying this bike slightly used (has never been dropped or down) in great condition saves you the freight and set up fees (~$900) . And since it’s already had the initial service, you are saving close to another three hundred dollars. Plus you are getting the Royal Enfield add-ones mentioned above (the hand guards are especially great). And includes the original Royal Enfield thirty six (36) month warranty that started on October 8, 2022."
5 miles,"$4,204 ",Classic 350,New 2022 Royal Enfield Cruiser,
"2,551 miles","$4,995 ",Himalayan,Used 2022 Royal Enfield Standard,"Decades of expeditions. Thousands of miles of traversing the most challenging terrain. Years of living and evolving with a machine that responds to the mountains. That's how we made the Himalayan, our first dual-purpose motorcycle."
4 miles,"$5,995 ",Continental GT Dux Deluxe,New 2022 Royal Enfield Standard,"2022 Royal Enfield Continental GT Dux Deluxe, NATIONWIDE SHIPPING AVAILABLE - NATIONWIDE FINANCING AVAILABLE, CLICK ""GET FINANCING"" FOR CREDIT APPROVAL.  2022 Royal Enfield Continental GT Dux Deluxe"
2 miles,"$3,995 ",Classic 350 Halcyon Black,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Black, PLEASE NOTE! VEHICLE SHIPS OUT OF WINDSOR, CA. SHIPPING DIRECT TO PURCHASER’S DOORSTEP AVAILABLE NATIONWIDE.  2022 Royal Enfield Classic 350 Halcyon Grey"
3 miles,"$4,699 ",CLASSIC 350 BASE,New 2023 Royal Enfield Cruiser,"2023 ROYAL ENFIELD CLASSIC 350 BASE, 2023 Royal Enfield Classic 350 Signals Desert Sand"
3 miles,"$4,530 ",HIMALAYAN BASE,New 2022 Royal Enfield Dual Sport,"2022 ROYAL ENFIELD HIMALAYAN BASE, 2022 Royal Enfield Himalayan Gravel Grey"
3 miles,"$4,530 ",HIMALAYAN BASE,New 2022 Royal Enfield Dual Sport,"2022 ROYAL ENFIELD HIMALAYAN BASE, 2022 Royal Enfield Himalayan Gravel Grey"
10 miles,"$3,999 ",Himalayan Pine Green,New 2022 Royal Enfield Standard,"2022 Royal Enfield Himalayan Pine Green, CALL (714) 256-6700 FOR DETAILS.  ADVERTISED SALE PRICE IS BEFORE APPLICABLE SALES TAX, LICENSE, REGISTRATION & DEALER FEES. OFFER EXPIRES APRIL 30TH, 2023. CALL (714) 256-6700 FOR DETAILS. 2022 Royal Enfield Himalayan Pine Green"
3 miles,"$5,449 ",HIMALAYAN BASE,New 2023 Royal Enfield Dual Sport,"2023 ROYAL ENFIELD HIMALAYAN BASE, 2023 Royal Enfield Himalayan Granite Black"
2 miles,"$5,549 ",SCRAM 411,New 2023 Royal Enfield Dual Sport,"2023 Royal Enfield SCRAM 411,"
4 miles,"$4,995 ",Int650 Downtown Drag,New 2022 Royal Enfield Standard,"2022 Royal Enfield Int650 Downtown Drag, NATIONWIDE SHIPPING AVAILABLE - NATIONWIDE FINANCING AVAILABLE, CLICK ""GET FINANCING"" FOR CREDIT APPROVAL.  2022 Royal Enfield Int650 Downtown Drag"
,"$6,600 ",Classic 500,Used 2018 Royal Enfield Classic / Vintage,"2018 Royal Enfield Classic 500 CC REGISTRATION AS MILITARY (MTL)Mileage 3830Exact original 1938 model except for DUAL DISC BRAKES,ABS AND FUEL INJECTIONDuring WWI THE GERMAN HIGH COMMAND WHEN SPEAKING OF THE BRITISH ARMY THAT “never have so many Lions , been lead by so many lambs” lambs being British high command.Enfield, built the motorcycles, the infrantry rifles and all their artillery.Enfield adopted the Lion as their mascot.This bike has the original Brass Enfield Lion on the right side of bike and both brass Enfield wings on the gas tank ALL AFTER MARKET MODIFICATIONS MADE BY REVIVAL MOTORCYCLES ( Google them)One of the top shops in the nation.Modifications;-Turn signal lights not originally installed on 1938 model. They were removed and LED signals put in handlebars -night riding is dangerous so 2 hidden LED LIGHTS TURNED ON AT NIGHT WILL SHOOT  2 blue wing’s surrounding bike shot on ground for easy viewing of bike-drivel seat raised 1 1/2” so profile of bike would be correct.-handle bars raised 4 “ , does not make profile incorrect - Crash bars- the brass Royal Enfield Lion and tank wings- the ROYAL ENFIELD FRONT FENDER LOGO INSTALLED THIS IS AN ATTENTION GRABBING BIKE BECAUSE OF ITS ORIGINAL DETAILS - SEE PHOTOS OF ALL"
3 miles,"$3,876 ",CLASSIC 350 BASE,New 2022 Royal Enfield Cruiser,"2022 ROYAL ENFIELD CLASSIC 350 BASE, 2022 Royal Enfield Classic 350 Halcyon Grey"
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411,"
